开奖日期	                开奖号码 
2019-09-15(日)	[07 13 19 22 25 32 13]
2019-09-12(四)	[02 06 08 23 27 32 2]
2019-09-10(二)	[02 14 22 27 30 33 14]
2019-09-08(日)	[02 13 15 17 26 33 1]
2019-09-05(四)	[01 05 16 17 18 24 10]
2019-09-03(二)	[04 12 14 21 27 29 12]
2019-09-01(日)	[03 08 12 16 20 32 12]
2019-08-29(四)	[01 04 09 21 31 33 5]
2019-08-27(二)	[01 04 12 13 30 32 8]
2019-08-25(日)	[07 14 22 23 27 30 8]
2019-08-22(四)	[03 11 12 14 17 26 9]
2019-08-20(二)	[03 05 18 24 25 31 9]
2019-08-18(日)	[05 07 12 18 27 32 11]
2019-08-15(四)	[02 05 14 19 21 28 1]
2019-08-13(二)	[05 10 12 18 19 27 6]
2019-08-11(日)	[05 07 08 09 20 22 2]
2019-08-08(四)	[09 17 27 28 32 33 8]
2019-08-06(二)	[07 10 21 24 29 32 11]
2019-08-04(日)	[02 03 06 08 14 22 4]
2019-08-01(四)	[02 04 14 16 20 22 11]
2019-07-30(二)	[13 14 15 21 23 29 13]
2019-07-28(日)	[04 05 07 09 21 30 4]
2019-07-25(四)	[16 22 24 26 28 31 6]
2019-07-23(二)	[01 04 14 18 24 29 4]
2019-07-21(日)	[04 08 14 18 20 27 3]
2019-07-18(四)	[06 15 17 26 28 31 3]
2019-07-16(二)	[07 16 19 22 24 28 2]
2019-07-14(日)	[05 24 27 29 31 32 10]
2019-07-11(四)	[03 06 08 20 24 32 7]
2019-07-09(二)	[01 03 06 09 19 31 16]
2019-07-07(日)	[01 17 27 29 31 33 12]
2019-07-04(四)	[09 11 13 18 21 22 15]
2019-07-02(二)	[12 15 19 20 29 32 14]
2019-06-30(日)	[05 08 20 22 31 33 3]
2019-06-27(四)	[12 21 27 29 31 33 4]
2019-06-25(二)	[01 02 06 12 16 18 8]
2019-06-23(日)	[02 09 13 15 22 30 15]
2019-06-20(四)	[01 08 19 24 29 30 4]
2019-06-18(二)	[06 15 18 19 24 32 9]
2019-06-16(日)	[06 11 16 19 21 25 1]
2019-06-13(四)	[03 14 20 24 26 33 10]
2019-06-11(二)	[04 06 08 11 30 33 11]
2019-06-09(日)	[01 14 17 20 22 32 4]
2019-06-06(四)	[06 09 11 15 20 26 10]
2019-06-04(二)	[12 20 24 25 30 33 12]
2019-06-02(日)	[01 14 19 22 29 31 16]
2019-05-30(四)	[07 13 16 23 26 30 1]
2019-05-28(二)	[03 17 19 24 27 31 12]
2019-05-26(日)	[03 04 14 20 23 27 1]
2019-05-23(四)	[04 05 07 09 16 18 6]
2019-05-21(二)	[07 08 12 21 23 27 12]
2019-05-19(日)	[04 05 06 08 13 18 16]
2019-05-16(四)	[13 14 17 19 21 29 1]
2019-05-14(二)	[01 06 11 15 19 31 10]
2019-05-12(日)	[07 10 11 15 24 26 11]
2019-05-09(四)	[04 16 22 25 29 31 8]
2019-05-07(二)	[03 06 09 13 16 19 16]
2019-05-05(日)	[08 09 10 13 15 28 9]
2019-05-02(四)	[04 06 10 11 21 23 2]
2019-04-30(二)	[03 10 13 22 23 28 15]
2019-04-28(日)	[03 07 10 12 18 29 10]
2019-04-25(四)	[03 11 18 25 30 33 14]
2019-04-23(二)	[02 12 16 22 25 32 6]
2019-04-21(日)	[01 06 17 19 27 31 14]
2019-04-18(四)	[06 14 16 17 23 29 7]
2019-04-16(二)	[01 06 12 13 24 32 13]
2019-04-14(日)	[15 17 19 22 25 26 4]
2019-04-11(四)	[02 09 13 23 24 26 16]
2019-04-09(二)	[05 06 09 18 23 31 11]
2019-04-07(日)	[06 07 11 14 27 32 8]
2019-04-04(四)	[09 12 21 27 29 30 5]
2019-04-02(二)	[01 07 12 14 18 25 10]
2019-03-31(日)	[02 10 13 16 23 32 8]
2019-03-28(四)	[01 05 07 09 10 20 16]
2019-03-26(二)	[09 11 15 22 24 26 3]
2019-03-24(日)	[09 15 19 21 23 29 15]
2019-03-21(四)	[04 08 09 13 28 33 4]
2019-03-19(二)	[03 13 15 18 21 33 16]
2019-03-17(日)	[04 05 07 10 12 22 16]
2019-03-14(四)	[08 11 17 23 32 33 10]
2019-03-12(二)	[04 19 22 26 29 30 11]
2019-03-10(日)	[02 06 08 10 11 17 13]
2019-03-07(四)	[03 13 15 19 20 27 14]
2019-03-05(二)	[15 16 21 27 30 33 4]
2019-03-03(日)	[01 08 23 25 28 29 10]
2019-02-28(四)	[01 10 14 15 18 31 13]
2019-02-26(二)	[03 07 11 21 30 33 7]
2019-02-24(日)	[02 05 07 08 20 27 4]
2019-02-21(四)	[02 12 13 23 27 28 12]
2019-02-19(二)	[03 11 17 18 24 25 6]
2019-02-17(日)	[04 11 18 19 26 32 4]
2019-02-14(四)	[04 05 24 28 30 33 9]
2019-02-12(二)	[05 07 09 11 19 25 5]
2019-02-03(日)	[11 15 16 20 24 31 4]
2019-01-31(四)	[01 02 03 14 19 33 3]
2019-01-29(二)	[05 07 14 16 18 21 1]
2019-01-27(日)	[07 10 21 23 31 33 14]
2019-01-24(四)	[10 13 19 21 24 30 7]
2019-01-22(二)	[02 04 05 08 11 30 2]
2019-01-20(日)	[01 07 10 22 31 32 15]
2019-01-17(四)	[02 06 09 13 28 32 12]
2019-01-15(二)	[06 10 14 15 19 23 15]
2019-01-13(日)	[01 05 10 19 26 28 12]
2019-01-10(四)	[21 22 26 28 31 32 7]
2019-01-08(二)	[08 12 16 19 26 32 3]
2019-01-06(日)	[13 17 20 21 22 27 1]
2019-01-03(四)	[04 05 06 08 09 18 11]
2019-01-01(二)	[06 10 13 15 32 33 15]
